0,406.82,414.73,373.13,375.75,392.61
0.999,393.78,390.73,363.57,365.36,378.36
2.986,370.96,378.73,360.38,358.44,367.13
5.856,362.81,378.73,360.38,353.25,363.79
6.855,369.33,390.73,363.57,358.44,370.52
7.855,392.15,402.73,376.31,368.83,385
8.855,414.97,414.73,385.87,384.4,399.99
10.718,413.34,390.73,373.13,382.67,389.97
12.284,372.59,390.73,354.01,351.52,367.21
13.283,351.5,390.73,350.83,341.13,358.55
15.425,357.92,378.73,360.38,348.06,361.27
17.025,382.37,390.73,369.94,370.56,378.4
18.485,416.6,426.73,376.31,382.67,400.58
20.491,397.04,390.73,366.75,368.83,380.84
21.49,370.96,378.73,357.2,354.98,365.47
22.489,356.39,378.73,350.83,341.13,356.77
23.488,362.81,366.73,354.01,348.06,357.9
26.536,398.67,390.73,373.13,377.48,385
28.033,397.04,414.73,376.31,379.21,391.82
29.032,397.04,390.73,363.57,365.36,379.18
30.031,385.63,402.73,357.2,354.98,375.13
31.03,372.59,366.73,360.38,354.98,363.67
32.985,367.7,378.73,354.01,351.52,362.99
34.537,372.59,378.73,357.2,358.44,366.74
35.984,390.52,390.73,376.31,372.29,382.46
36.984,395.41,414.73,376.31,372.29,389.69
37.983,395.41,390.73,379.5,372.29,384.48
39.402,393.78,402.73,360.38,361.9,379.7
41.017,369.33,390.73,357.2,353.25,367.63
42.017,366.07,378.73,357.2,354.98,364.24
43.017,372.59,390.73,357.2,351.52,368.01
44.016,385.63,390.73,363.57,356.71,374.16
45.415,388.89,390.73,369.94,374.02,380.89
48.177,384,390.73,360.38,354.98,372.52
49.177,372.59,402.73,357.2,353.25,371.44
50.177,370.96,390.73,360.38,354.98,369.26
51.176,387.26,402.73,366.75,363.63,380.09
52.943,388.89,390.73,360.38,363.63,375.91
54.481,377.48,390.73,360.38,358.44,371.76
55.48,369.33,390.73,363.57,356.71,370.08
57.015,379.11,390.73,369.94,363.63,375.85
58.014,400.3,402.73,376.31,368.83,387.04
59.433,405.19,402.73,366.75,370.56,386.31
61.007,366.07,378.73,350.83,354.98,362.65
62.006,362.81,366.73,357.2,348.06,358.7
63.005,361.18,378.73,354.01,346.33,360.06
64.004,369.33,402.73,366.75,354.98,373.45
65.437,390.52,402.73,366.75,368.83,382.21
68.194,387.26,390.73,363.57,361.9,375.87
69.193,377.48,390.73,360.38,354.98,370.89
70.192,370.96,378.73,360.38,354.98,366.26
71.192,370.96,390.73,363.57,356.71,370.49
73.034,397.04,402.73,373.13,370.56,385.86
74.555,406.82,402.73,373.13,377.48,390.04
75.554,395.41,390.73,369.94,367.1,380.79
78.176,361.18,378.73,357.2,349.79,361.72
79.175,357.92,366.73,354.01,351.52,357.54
80.706,370.96,378.73,350.83,354.98,363.87
82.307,385.63,390.73,376.31,368.83,380.37
83.306,403.56,426.73,376.31,374.02,395.16
84.306,403.56,402.73,376.31,375.75,389.59
85.305,398.67,390.73,366.75,368.83,381.25
88.429,370.96,402.73,357.2,353.25,371.03
90.571,380.74,390.73,366.75,358.44,374.17
91.571,384,390.73,366.75,356.71,374.55
92.57,377.48,390.73,363.57,361.9,373.42
93.569,382.37,378.73,369.94,365.36,374.1
95.408,392.15,390.73,369.94,367.1,379.98
98.306,364.44,366.73,357.2,353.25,360.4
99.306,361.18,354.73,354.01,349.79,354.93
100.31,361.18,390.73,357.2,353.25,365.59
101.31,372.59,402.73,366.75,360.17,375.56
102.95,401.93,402.73,379.5,377.48,390.41
104.52,414.97,402.73,379.5,382.67,394.97
105.52,413.34,402.73,366.75,375.75,389.64
107.06,369.33,390.73,350.83,351.52,365.6
108.06,344.98,390.73,350.83,339.4,356.49
109.7,338.46,354.73,357.2,339.4,347.45
111.29,405.19,414.73,385.87,382.67,397.12
112.29,421.49,414.73,385.87,391.33,403.35
113.29,401.93,390.73,369.94,379.21,385.45
114.29,392.15,402.73,363.57,367.1,381.39
116.02,362.81,390.73,347.64,341.13,360.58
119.33,393.78,402.73,369.94,374.02,385.12
120.33,403.56,402.73,373.13,377.48,389.22
121.33,401.93,402.73,369.94,375.75,387.59
122.33,382.37,378.73,363.57,356.71,370.34
123.94,359.55,366.73,360.38,346.33,358.25
125.51,366.07,390.73,357.2,354.98,367.24
126.51,388.89,390.73,363.57,365.36,377.14
127.93,400.3,390.73,366.75,367.1,381.22
